"IMC_classif","obesid","excpeso","Unidades_da_Federacao","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Abaixo do peso","Não","Não","Amazonas","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1990.88987957978
"Abaixo do peso","Não","Não","Roraima","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",137.328922566877
"Eutrofia","Não","Sim","Pará","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1419.3669555455
"Abaixo do peso","Não","Não","Pará","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",952.896967883036
"Abaixo do peso","Não","Não","Tocantins","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2393.02530592107
"Abaixo do peso","Não","Não","Piauí","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2272.55890201971
"Eutrofia","Não","Sim","Ceará","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",991.127088348442
"Eutrofia","Não","Sim","Rio Grande do Norte","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",949.414934181718
"Abaixo do peso","Não","Não","Paraíba","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3380.6548488493
"Abaixo do peso","Não","Não","Pernambuco","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2525.84542009156
"Abaixo do peso","Não","Não","Alagoas","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1811.88714860316
"Eutrofia","Não","Sim","Sergipe","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1202.44044316194
"Abaixo do peso","Não","Não","Sergipe","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4246.21599587275
"Sobrepeso","Sim","Sim","Bahia","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7528.15582836004
"Eutrofia","Não","Sim","Bahia","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2421.25635538482
"Eutrofia","Não","Sim","Espírito Santo","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3277.93489971908
"Abaixo do peso","Não","Não","Espírito Santo","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4812.69728686414
"Abaixo do peso","Não","Não","São Paulo","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",20455.9935820297
"Sobrepeso","Sim","Sim","Mato Grosso do Sul","18 a 24 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1396.4314973093
"Abaixo do peso","Não","Não","Acre","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",397.168133967388
"Obesidade grau I","Sim","Sim","Amazonas","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1831.0325900799
"Eutrofia","Não","Sim","Amazonas","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2538.7015573265
"Abaixo do peso","Não","Não","Amazonas","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",478.850379772235
"Sobrepeso","Sim","Sim","Roraima","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",262.761968078109
"Abaixo do peso","Não","Não","Tocantins","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",861.171659942945
"Abaixo do peso","Não","Não","Maranhão","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",415.807539284981
"Abaixo do peso","Não","Não","Piauí","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3219.92988590525
"Eutrofia","Não","Sim","Alagoas","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",817.766246994853
"Abaixo do peso","Não","Não","Alagoas","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2035.98042287584
"Sobrepeso","Sim","Sim","Sergipe","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1087.46774593044
"Abaixo do peso","Não","Não","Espírito Santo","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1399.99707371297
"Abaixo do peso","Não","Não","Rio de Janeiro","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3924.34697985606
"Sobrepeso","Sim","Sim","Distrito Federal","25 a 29 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1348.88398708808
"Eutrofia","Não","Sim","Rondônia","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",415.538016182293
"Obesidade grau I","Sim","Sim","Acre","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",271.778897184041
"Abaixo do peso","Não","Não","Acre","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",396.033056715528
"Obesidade grau I","Sim","Sim","Amazonas","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2794.76788901099
"Eutrofia","Não","Sim","Amazonas","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1345.32240704946
"Sobrepeso","Sim","Sim","Roraima","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",176.10794585705
"Abaixo do peso","Não","Não","Amapá","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",799.169203363601
"Sobrepeso","Sim","Sim","Tocantins","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2559.81371060528
"Eutrofia","Não","Sim","Tocantins","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1333.51345393863
"Abaixo do peso","Não","Não","Tocantins","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1382.49220985509
